"source;target";w
"thanking;request";24557
"request;thanking";20841
"elicitation;thanking";13351
"confirm;request";12864
"request;confirm";11520
"request;elicitation";9620
"closing_politeness_statement;thanking";8229
"greeting;request";7126
"greeting;elicitation";6722
"elicitation;request";6326
"request;closing_politeness_statement";6159
"confirm;thanking";5307
"thanking;elicitation";4130
"closing_politeness_statement;request";4013
"thanking;confirm";3660
"request;set_question";3402
"thanking;closing_politeness_statement";3094
"elicitation;confirm";3033
"set_question;request";2928
"greeting;confirm";2707
"confirm;elicitation";2701
"request;choice_question";2587
"thanking;closing_greeting";2513
"inform;thanking";2394
"thanking;farewell_wish";2232
"preclosing;thanking";2143
"choice_question;request";1925
"request;inform";1807
"request;preclosing";1678
"thanking;inform";1673
"choice_question;confirm";1667
"elicitation;inform";1592
"preclosing;elicitation";1586
"elicitation;closing_politeness_statement";1522
"greeting;thanking";1508
"confirm;closing_politeness_statement";1508
"set_question;confirm";1495
"thanking;preclosing";1373
"choice_question;elicitation";1360
"choice_question;thanking";1255
"greeting;choice_question";1243
"greeting;dialog_act_invitation";1236
"choice_question;set_question";1132
"thanking;choice_question";1118
"request;apology_downplay";1066
"elicitation;choice_question";1030
"set_question;thanking";970
"inform;elicitation";935
"set_question;choice_question";930
"farewell_wish;initial_goodbye";831
"inform;confirm";797
"greeting;set_question";794
"elicitation;set_question";790
"farewell_wish;thanking";715
"inform;request";715
"dialog_act_invitation;elicitation";711
"closing_greeting;thanking";699
"elicitation;preclosing";698
"request;opening";658
"apology_downplay;elicitation";656
"set_question;elicitation";645
"confirm;inform";638
"confirm;set_question";598
"initial_goodbye;thanking";574
"thanking;set_question";555
"greeting;inform";537
"confirm;choice_question";496
"confirm;preclosing";455
"thanking;pausing";449
"pausing;elicitation";441
"thanking;opening";421
"opening;request";407
"promise;thanking";405
"opening;thanking";401
"inform;choice_question";394
"threat;thanking";383
"thanking;promise";376
"opening;threat";347
"closing_politeness_statement;confirm";345
"request;threat";345
"answer;thanking";328
"dialog_act_invitation;request";301
"request;answer";300
"closing_greeting;closing_politeness_statement";279
"apology_downplay;thanking";268
"greeting;closing_politeness_statement";266
"preclosing;closing_greeting";255
"preclosing;request";253
"choice_question;closing_politeness_statement";227
"inform;closing_politeness_statement";226
"request;promise";221
"closing_politeness_statement;elicitation";221
"set_question;closing_politeness_statement";219
"dialog_act_invitation;thanking";219
"confirm;closing_greeting";215
"thanking;initial_goodbye";214
"elicitation;threat";208
"threat;request";201
"closing_politeness_statement;opening";201
"elicitation;promise";195
"choice_question;inform";192
"thanking;threat";183
"thanking;thanking_downplay";183
"inform;closing_greeting";173
"closing_greeting;farewell_wish";167
"inform;preclosing";166
"request;dialog_act_invitation";160
"answer;request";156
"greeting;answer";151
"choice_question;preclosing";149
"opening;closing_politeness_statement";144
"inform;promise";141
"answer;inform";140
"confirm;promise";140
"thanking;greeting";139
"promise;preclosing";137
"thanking;answer";135
"answer;confirm";135
"closing_politeness_statement;inform";130
"elicitation;answer";124
"promise;closing_greeting";119
"preclosing;confirm";115
"confirm;opening";115
"confirm;answer";113
"threat;greeting";111
"inform;greeting";110
"elicitation;opening";110
"opening;confirm";108
"dialog_act_invitation;confirm";107
"apology_downplay;request";106
"promise;request";103
"set_question;inform";102
"threat;confirm";102
"farewell_wish;thanking_downplay";98
"thanking_downplay;thanking";92
"apology_downplay;closing_politeness_statement";92
"answer;elicitation";89
"request;self_error";87
"threat;closing_politeness_statement";85
"opening;elicitation";83
"thanking_downplay;initial_goodbye";79
"promise;elicitation";77
